Nº;MEANING;INFINITIVE;PAST SIMPLE;PAST PARTICIPLE
1;SER / ESTAR;BE;WAS /WERE;BEEN
2;LATIR;BEAT;BEAT;BEATEN
3;CONVERTIRSE;BECOME;BECAME;BECOME
4;COMENZAR;BEGIN;BEGAN;BEGUN
5;DOBLAR;BEND;BENT;BENT
6;APOSTAR;BET;BET;BET
7;MORDER;BITE;BIT;BITTEN
8;SANGRAR;BLEED;BLED;BLED
9;SOPLAR;BLOW;BLEW;BLOWN
10;ROMPER;BREAK;BROKE;BROKEN
11;TRAER;BRING;BROUGHT;BROUGHT
12;CONSTRUIR;BUILD;BUILT;BUILT
13;QUEMAR;BURN;BURNT;BURNT
14;COMPRAR;BUY;BOUGHT;BOUGHT
15;COGER;CATCH;CAUGHT;CAUGHT
16;ELEGIR;CHOOSE;CHOSE;CHOSEN
17;VENIR;COME;CAME;COME
18;COSTAR;COST;COST;COST
19;CORTAR;CUT;CUT;CUT
20;EXCAVAR;DIG;DUG;DUG
21;HACER;DO;DID;DONE
22;DIBUJAR;DRAW;DREW;DRAWN
23;SOÑAR;DREAM;DREAMT;DREAMT
24;BEBER;DRINK;DRANK;DRUNK
25;CONDUCIR;DRIVE;DROVE;DRIVEN
26;COMER;EAT;ATE;EATEN
27;CAER;FALL;FELL;FALLEN
28;ALIMENTAR;FEED;FED;FED
29;SENTIR;FEEL;FELT;FELT
30;LUCHAR;FIGHT;FOUGHT;FOUGHT
31;ENCONTRAR;FIND;FOUND;FOUND
32;VOLAR;FLY;FLEW;FLOWN
33;OLVIDAR;FORGET;FORGOT;FORGOTTEN
34;PERDONAR;FORGIVE;FORGAVE;FORGIVEN
35;CONGELAR;FREEZE;FROZE;FROZEN
36;OBTENER;GET;GOT;GOT
37;DAR;GIVE;GAVE;GIVEN
38;IR;GO;WENT;GONE
39;CRECER;GROW;GREW;GROWN
40;COLGAR;HANG;HUNG;HUNG
41;TENER;HAVE;HAD;HAD
42;OIR;HEAR;HEARD;HEARD
43;ESCONDER;HIDE;HID;HIDDEN
44;GOLPEAR;HIT;HIT;HIT
45;SOSTENER;HOLD;HELD;HELD
46;HERIR;HURT;HURT;HURT
47;MANTENER;KEEP;KEPT;KEPT
48;CONOCER;KNOW;KNEW;KNOWN
49;YACER / TUMBARSE;LAY;LAID;LAID
50;DIRIGIR;LEAD;LED;LED
51;APRENDER;LEARN;LEARNT;LEARNT
52;DEJAR;LEAVE;LEFT;LEFT
53;PRESTAR;LEND;LENT;LENT
54;PERMITIR;LET;LET;LET
55;ALUMBRAR;LIGHT;LIT;LIT
56;PERDER;LOSE;LOST;LOST
57;HACER / CONSTRUIR;MAKE;MADE;MADE
58;SIGNIFICAR;MEAN;MEANT;MEANT
59;ENCONTRAR;MEET;MET;MET
60;PAGAR;PAY;PAID;PAID
61;PONER;PUT;PUT;PUT
62;LEER;READ;READ;READ
63;MONTAR / CABALGAR;RIDE;RODE;RIDDEN
64;TOCAR / SONAR / LLAMAR;RING;RANG;RUNG
65;SUBIR / AUMENTAR;RISE;ROSE;RISEN
66;CORRER;RUN;RAN;RUN
67;DECIR ALGO;SAY;SAID;SAID
68;VER / MIRAR;SEE;SAW;SEEN
69;VENDER;SELL;SOLD;SOLD
70;ENVIAR;SEND;SENT;SENT
71;COLOCAR / ESTABLECER;SET;SET;SET
72;AGITAR;SHAKE;SHOOK;SHAKEN
73;BRILLAR;SHINE;SHONE;SHONE
74;CERRAR;SHUT;SHUT;SHUT
75;DISPARAR;SHOOT;SHOT;SHOT
76;MOSTRAR;SHOW;SHOWED;SHOWN
77;CANTAR;SING;SANG;SUNG
78;HUNDIR;SINK;SANK;AUNK
79;SENTARSE;SIT;SAT;SAT
80;DORMIR;SLEEP;SLEPT;SLEPT
81;OLER;SMELL;SMELT;SMELT
82;HABLAR;SPEAK;SPOKE;SPOKEN
83;DELETREAR;SPELL;SPELT;SPELT
84;GASTAR;SPEND;SPENT;SPENT
85;ESTAR DE PIE;STAND;STOOD;STOOD
86;ROBAR;STEAL;STOLE;STOLEN
87;PEGAR;STICK;STUCK;STUCK
88;NADAR;SWIM;SWAM;SWUM
89;TOMAR;TAKE;TOOK;TAKEN
90;ENSEÑAR;TEACH;TOUGHT;TOUGHT
91;DESGARRAR;TEAR;TORE;TORN
92;CONTAR;TELL;TOLD;TOLD
93;PENSAR;THINK;THOUGHT;THOUGHT
94;LANZAR;THROW;THREW;THROWN
95;ENTENDER;UNDERSTAND;UNDERSTOOD;UNDERSTOOD
96;DESPERTAR;WAKE;WOKE;WOKEN
97;VESTIR / LLEVAR PUESTO;WEAR;WORE;WORN
98;GANAR;WIN;WON;WON
99;ESCRIBIR;WRITE;WROTE;WRITTEN
